"","город","Улица","Дом","Дата","lonlat","yandex_adress","ya_street"
"8752","Москoвская Область","Долгопрудный, Институтский переулок","8","18.04.2020","37.517518   55.931371","Россия, Московская область, Долгопрудный, Институтский переулок, 8","Долгопрудный, Институтский переулок, 8"
"8753","Москoвская Область","Долгопрудный, Лихачёвское шоссе","10","18.04.2020","37.492293   55.943195","Россия, Московская область, Долгопрудный, Лихачёвское шоссе, 10","Долгопрудный, Лихачёвское шоссе, 10"
"8754","Москoвская Область","Долгопрудный, Набережная","19/2","18.04.2020","37.522944   55.961264","Россия, Московская область, Долгопрудный, Набережная улица, 19к2","Долгопрудный, Набережная улица, 19к2"
"8755","Москoвская Область","Долгопрудный, Новый бульвар","9","18.04.2020","37.503693   55.937462","Россия, Московская область, Долгопрудный, Новый бульвар, 9","Долгопрудный, Новый бульвар, 9"
"8756","Москoвская Область","Долгопрудный, проспект Пацаева","15","18.04.2020","37.495734   55.948059","Россия, Московская область, Долгопрудный, проспект Пацаева, 15","Долгопрудный, проспект Пацаева, 15"
"8757","Москoвская Область","Долгопрудный, ул.Театральная","14","18.04.2020","37.509792   55.945362","Россия, Московская область, Долгопрудный, Театральная улица, 14","Долгопрудный, Театральная улица, 14"
"8758","Москoвская Область","Долгопрудный, Московское шоссе","43/2","18.04.2020","37.51485   55.944258","Россия, Московская область, Долгопрудный, Московское шоссе, 43к2","Долгопрудный, Московское шоссе, 43к2"
"8759","Москoвская Область","Домодедово, Корнеева","46","18.04.2020","37.779314   55.423162","Россия, Московская область, Домодедово, улица Корнеева, 46","Домодедово, улица Корнеева, 46"
"8760","Москoвская Область","Домодедово, Лунная улица","23","18.04.2020","37.758895   55.420812","Россия, Московская область, Домодедово, микрорайон Западный, Лунная улица, 23","Домодедово, микрорайон Западный, Лунная улица, 23"
"8761","Москoвская Область","Домодедово, Лунная улица","31","18.04.2020","37.759596   55.416877","Россия, Московская область, Домодедово, микрорайон Западный, Лунная улица, 31","Домодедово, микрорайон Западный, Лунная улица, 31"
"8762","Москoвская Область","Домодедово, Промышленная","9","18.04.2020","37.769972   55.447234","Россия, Московская область, Домодедово, Промышленная улица, 9","Домодедово, Промышленная улица, 9"
"8763","Москoвская Область","Домодедово, проспект Академика Туполева","14","18.04.2020","37.831075   55.413285","Россия, Московская область, Домодедово, микрорайон Авиационный, проспект Академика Туполева, 14","Домодедово, микрорайон Авиационный, проспект Академика Туполева, 14"
"8764","Москoвская Область","Домодедово, Рабочая улица","58","18.04.2020","37.766279   55.421619","Россия, Московская область, Домодедово, Рабочая улица, 58","Домодедово, Рабочая улица, 58"
"8765","Москoвская Область","Домодедово, ул. Ломоносова","10","18.04.2020","37.735692   55.452161","Россия, Московская область, Домодедово, микрорайон Северный, улица Ломоносова, 10","Домодедово, микрорайон Северный, улица Ломоносова, 10"
"8766","Москoвская Область","Домодедово, улица Кирова","7/1","18.04.2020","37.750065   55.439395","Россия, Московская область, Домодедово, микрорайон Центральный, улица Кирова, 7к1","Домодедово, микрорайон Центральный, улица Кирова, 7к1"
"8767","Москoвская Область","Егорьевск, ул. Карла Маркса","32/16","18.04.2020","39.037988   55.383848","Россия, Московская область, Егорьевск, улица Карла Маркса, 32/16","Егорьевск, улица Карла Маркса, 32/16"
"8768","Москoвская Область","Егорьевск, ул. Сосновая","4А","18.04.2020","39.018109   55.368676","Россия, Московская область, Егорьевск, Сосновая улица, 4А","Егорьевск, Сосновая улица, 4А"
"8769","Москoвская Область","Долгопрудный, Железнякова","14","18.04.2020","37.493129   55.946905","Россия, Московская область, Долгопрудный, улица Железнякова, 14","Долгопрудный, улица Железнякова, 14"
"8770","Москoвская Область","Жуковский, Комсомольская улица","1","18.04.2020","38.13149   55.586924","Россия, Московская область, Жуковский, Комсомольская улица, 1","Жуковский, Комсомольская улица, 1"
"8771","Москoвская Область","Жуковский, Молодёжная","34/1","18.04.2020","38.086897   55.607066","Россия, Московская область, Жуковский, Молодёжная улица, 34к1","Жуковский, Молодёжная улица, 34к1"
"8772","Москoвская Область","Жуковский, улица Туполева","9","18.04.2020","38.145782   55.581587","Россия, Московская область, Жуковский, улица Туполева, 9","Жуковский, улица Туполева, 9"
"8773","Москoвская Область","Жуковский, Чапаева","9","18.04.2020","38.104926   55.61177","Россия, Московская область, Жуковский, улица Чапаева, 9","Жуковский, улица Чапаева, 9"
"8774","Москoвская Область","Жуковский, Чкалова","7","18.04.2020","38.131418   55.588435","Россия, Московская область, Жуковский, улица Чкалова, 7","Жуковский, улица Чкалова, 7"
"8775","Москoвская Область","Жуковский, Набережная Циолковского","18","18.04.2020","38.090544   55.601696","Россия, Московская область, Жуковский, улица Набережная Циолковского, 18","Жуковский, улица Набережная Циолковского, 18"
"8776","Москoвская Область","Звенигород, 3-й микрорайон","28","18.04.2020","36.876256   55.724322","Россия, Московская область, Одинцовский городской округ, Звенигород, микрорайон Восточный, 3-й микрорайон, 28","Одинцовский городской округ, Звенигород, микрорайон Восточный, 3-й микрорайон, 28"
"8777","Москoвская Область","Звенигород, микрорайон Супонево","1","18.04.2020","36.873273   55.744439","Россия, Московская область, Одинцовский городской округ, Звенигород, микрорайон Супонево, к1","Одинцовский городской округ, Звенигород, микрорайон Супонево, к1"
"8778","Москoвская Область","Ивантеевка, Бережок","6","18.04.2020","37.943212   55.976468","Россия, Московская область, Ивантеевка, улица Бережок, 6","Ивантеевка, улица Бережок, 6"
"8779","Москoвская Область","Ивантеевка, Детский проезд","5","18.04.2020","37.911546   55.971244","Россия, Московская область, Ивантеевка, Детский проезд, 5","Ивантеевка, Детский проезд, 5"
"8780","Москoвская Область","Ивантеевка, Дзержинского","11","18.04.2020","37.908357   55.972932","Россия, Московская область, Ивантеевка, улица Дзержинского, 11","Ивантеевка, улица Дзержинского, 11"
"8781","Москoвская Область","Ивантеевка, Дзержинского","15","18.04.2020","37.908905   55.970509","Россия, Московская область, Ивантеевка, улица Дзержинского, 15","Ивантеевка, улица Дзержинского, 15"
"8782","Москoвская Область","Ивантеевка, Новая Слобода","3","18.04.2020","37.914501   55.96929","Россия, Московская область, Ивантеевка, улица Новая Слобода, 3","Ивантеевка, улица Новая Слобода, 3"
"8783","Москoвская Область","Ивантеевка, Трудовая","18","18.04.2020","37.936483   55.966746","Россия, Московская область, Ивантеевка, Трудовая улица, 18","Ивантеевка, Трудовая улица, 18"
"8784","Москoвская Область","Ивантеевка, Хлебзаводская","43А","18.04.2020","37.936268   55.970469","Россия, Московская область, Ивантеевка, Хлебозаводская улица, 43А","Ивантеевка, Хлебозаводская улица, 43А"
"8785","Москoвская Область","Истра, Босова","8А","18.04.2020","36.868845   55.908505","Россия, Московская область, Истра, улица Босова, 8А","Истра, улица Босова, 8А"
"8786","Москoвская Область","Истра, село Новопетровское, Полевая","1","18.04.2020","37.152461   55.775626","Россия, Московская область, городской округ Красногорск, посёлок Истра, 1","городской округ Красногорск, посёлок Истра, 1"
"8787","Москoвская Область","Истра, ул. Босова","2","18.04.2020","36.865386   55.909791","Россия, Московская область, Истра, улица Босова, 2","Истра, улица Босова, 2"
"8788","Москoвская Область","Кашира, деревня Труфаново, Советская","31","18.04.2020","38.442172   54.758703","Россия, Московская область, городской округ Кашира, деревня Труфаново, Советская улица, 31","городской округ Кашира, деревня Труфаново, Советская улица, 31"
"8789","Москoвская Область","Кашира, микрорайон Ожерелье, ул. Мира","17","18.04.2020","38.260344   54.791616","Россия, Московская область, Кашира, микрорайон Ожерелье, улица Мира, 17","Кашира, микрорайон Ожерелье, улица Мира, 17"
"8790","Москoвская Область","Кашира, Победы","7/2","18.04.2020","38.192018   54.838862","Россия, Московская область, Кашира, микрорайон Кашира-3, улица Победы, 7к2","Кашира, микрорайон Кашира-3, улица Победы, 7к2"
"8791","Москoвская Область","Кашира, Рабочий городок","15","18.04.2020","38.143716   54.836663","Россия, Московская область, Кашира, улица Рабочий городок, 15","Кашира, улица Рабочий городок, 15"
"8793","Москoвская Область","Клин, ул. Карла Маркса","37","18.04.2020","36.715035   56.331039","Россия, Московская область, Клин, улица Карла Маркса, 37","Клин, улица Карла Маркса, 37"
"8794","Москoвская Область","Клин, Центральная","56","18.04.2020","36.703123   56.370339","Россия, Московская область, Клин, городок Клин-5, Центральная улица, 56","Клин, городок Клин-5, Центральная улица, 56"
"8795","Москoвская Область","Коломенский район, п. Биорки","11","18.04.2020","38.606168   55.052278","Россия, Московская область, Коломенский городской округ, посёлок Биорки, 11","Коломенский городской округ, посёлок Биорки, 11"
"8796","Москoвская Область","Коломенский район, посёлок Пески, ул. Аптечная","9","18.04.2020","38.768153   55.215611","Россия, Московская область, Коломенский городской округ, посёлок Пески, Аптечная улица, 9","Коломенский городской округ, посёлок Пески, Аптечная улица, 9"
"8797","Москoвская Область","село Нижнее Хорошово, ул. Центральная","16","18.04.2020","38.78151   55.140003","Россия, Московская область, Коломенский городской округ, село Нижнее Хорошово, Центральная улица, 16","Коломенский городской округ, село Нижнее Хорошово, Центральная улица, 16"
"8798","Москoвская Область","Коломна, ул. Девичье Поле","15","18.04.2020","38.750779   55.055078","Россия, Московская область, Коломна, улица Девичье Поле, 15","Коломна, улица Девичье Поле, 15"
"8799","Москoвская Область","Коломна, ул. Дзержинского","92","18.04.2020","38.768979   55.082895","Россия, Московская область, Коломна, улица Дзержинского, 92","Коломна, улица Дзержинского, 92"
"8800","Москoвская Область","Коломна, ул. Добролюбова","17","18.04.2020","38.772168   55.082751","Россия, Московская область, Коломна, улица Добролюбова, 17","Коломна, улица Добролюбова, 17"
"8801","Москoвская Область","Коломна, ул. Добролюбова","4А","18.04.2020","38.774486   55.086708","Россия, Московская область, Коломна, улица Добролюбова, 4А","Коломна, улица Добролюбова, 4А"
"8802","Москoвская Область","Королев, Горького","79/3","18.04.2020","37.882189   55.920502","Россия, Московская область, Королёв, улица Горького, 79к3","Королёв, улица Горького, 79к3"
"8803","Москoвская Область","Королёв, Грабина","11А","18.04.2020","37.822002   55.926993","Россия, Московская область, Королёв, улица Грабина, 11А","Королёв, улица Грабина, 11А"
"8804","Москoвская Область","Королёв, Грабина","7","18.04.2020","37.818445   55.927352","Россия, Московская область, Королёв, улица Грабина, 7","Королёв, улица Грабина, 7"
"8805","Москoвская Область","Королёв, Дврцовый проезд","4","18.04.2020","37.854072   55.916219","Россия, Московская область, Королёв, Дворцовый проезд, 4","Королёв, Дворцовый проезд, 4"
"8806","Москoвская Область","Королёв, Карла Маркса","25","18.04.2020","37.819011   55.9197","Россия, Московская область, Королёв, улица Карла Маркса, 25","Королёв, улица Карла Маркса, 25"
"8807","Москoвская Область","Королёв, Ленинская","14","18.04.2020","37.844999   55.927462","Россия, Московская область, Королёв, микрорайон Юбилейный, Ленинская улица, 14","Королёв, микрорайон Юбилейный, Ленинская улица, 14"
"8808","Москoвская Область","Королёв, Мичурина","1Б","18.04.2020","37.848826   55.905427","Россия, Московская область, Королёв, улица Мичурина, 1Б","Королёв, улица Мичурина, 1Б"
"8809","Москoвская Область","Королев, Октябрьский бульвар","3","18.04.2020","37.841181   55.917738","Россия, Московская область, Королёв, Октябрьский бульвар, 3","Королёв, Октябрьский бульвар, 3"
"8810","Москoвская Область","Королёв, проспект Космонавтов","17А","18.04.2020","37.871005   55.917859","Россия, Московская область, Королёв, проспект Космонавтов, 17А","Королёв, проспект Космонавтов, 17А"
"8811","Москoвская Область","Королёв, проспект Макаренко","12","18.04.2020","37.862992   55.915447","Россия, Московская область, Королёв, проезд Макаренко, 12","Королёв, проезд Макаренко, 12"
"8812","Москoвская Область","Королёв, проспект Космонавтов","44","18.04.2020","37.86381   55.907238","Россия, Московская область, Королёв, проспект Космонавтов, 44","Королёв, проспект Космонавтов, 44"
"8813","Москoвская Область","Королев, Сосновая аллея","6","18.04.2020","37.864771   55.924013","Россия, Московская область, Королёв, Сосновая аллея, 6","Королёв, Сосновая аллея, 6"
"8814","Москoвская Область","Королёв, ул. Пионерская","10","18.04.2020","37.816064   55.913076","Россия, Московская область, Королёв, Пионерская улица, 10","Королёв, Пионерская улица, 10"
"8815","Москoвская Область","Королёв, ул. Аржакова","3","18.04.2020","37.854225   55.918696","Россия, Московская область, Королёв, улица Аржакова, 3","Королёв, улица Аржакова, 3"
"8816","Москoвская Область","Королёв, ул. Сосновая Аллея","6","18.04.2020","37.864771   55.924013","Россия, Московская область, Королёв, Сосновая аллея, 6","Королёв, Сосновая аллея, 6"
"8817","Москoвская Область","Королев, ул. Урицкого","10","18.04.2020","37.87246   55.923034","Россия, Московская область, Королёв, улица Урицкого, 10","Королёв, улица Урицкого, 10"
"8818","Москoвская Область","Королёв, улица Карла Маркса","10","18.04.2020","37.819091   55.922994","Россия, Московская область, Королёв, улица Карла Маркса, 10","Королёв, улица Карла Маркса, 10"
"8819","Москoвская Область","Котельники, 3-й Покровский проезд","1","18.04.2020","37.86107   55.66795","Россия, Московская область, Котельники, 3-й Покровский проезд, 1","Котельники, 3-й Покровский проезд, 1"
"8820","Москoвская Область","Котельники, микрорайон Белая Дача","24","18.04.2020","37.855482   55.664751","Россия, Московская область, Котельники, микрорайон Белая Дача, 24","Котельники, микрорайон Белая Дача, 24"
"8821","Москoвская Область","Котельники, Новая улица","17Б","18.04.2020","37.870987   55.6637","Россия, Московская область, Котельники, Новая улица, 17Б","Котельники, Новая улица, 17Б"
"8822","Москoвская Область","Котельники, ул. Кузьминская","11","18.04.2020","37.865471   55.666797","Россия, Московская область, Котельники, Кузьминская улица, 11","Котельники, Кузьминская улица, 11"
"8823","Москoвская Область","Котельники, Южный","9","18.04.2020","37.858914   55.646177","Россия, Московская область, Котельники, микрорайон Южный, 9","Котельники, микрорайон Южный, 9"
"8824","Москoвская Область","Красногорск, Братьев Горожанкиных","6","18.04.2020","37.298446   55.829416","Россия, Московская область, Красногорск, улица Братьев Горожанкиных, 6","Красногорск, улица Братьев Горожанкиных, 6"
"8825","Москoвская Область","Красногорск, Железнодорожная","25А","18.04.2020","37.316798   55.813708","Россия, Московская область, Красногорск, Железнодорожная улица, 25А","Красногорск, Железнодорожная улица, 25А"
"8826","Москoвская Область","Красногорск, Игоря Мерлушкина","10","18.04.2020","37.266376   55.836959","Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 10","Красногорск, улица Игоря Мерлушкина, 10"
"8827","Москoвская Область","Красногорск, Ильинский бульвар","5","18.04.2020","37.368559   55.818442","Россия, Московская область, Красногорск, Ильинский бульвар, 5","Красногорск, Ильинский бульвар, 5"
"8828","Москoвская Область","Красногорск, Комсомольская","37","18.04.2020","37.31405   55.815362","Россия, Московская область, Красногорск, микрорайон Райцентр, Комсомольская улица, 37","Красногорск, микрорайон Райцентр, Комсомольская улица, 37"
"8829","Москoвская Область","Красногорск, Опалиха","8","18.04.2020","37.246281   55.836211","Россия, Московская область, Красногорск, микрорайон Опалиха, 7","Красногорск, микрорайон Опалиха, 7"
"8830","Москoвская Область","Красногорск, Оптический проезд","16","18.04.2020","37.34285   55.821745","Россия, Московская область, Красногорск, Оптический проезд, 16","Красногорск, Оптический проезд, 16"
"8831","Москoвская Область","Красногорск, посёлок Путилково, ул. Братцевская","12","18.04.2020","37.391251   55.857437","Россия, Московская область, городской округ Красногорск, деревня Путилково, Братцевская улица, 12","городской округ Красногорск, деревня Путилково, Братцевская улица, 12"
"8832","Москoвская Область","Красногорск, Пионерская","15","18.04.2020","37.333624   55.822615","Россия, Московская область, Красногорск, Пионерская улица, 15","Красногорск, Пионерская улица, 15"
"8833","Москoвская Область","Красногорск, Пионерская","19","18.04.2020","37.331809   55.823818","Россия, Московская область, Красногорск, Пионерская улица, 19","Красногорск, Пионерская улица, 19"
"8834","Москoвская Область","Красногорск, Подмосковный бульвар","11","18.04.2020","37.371919   55.822857","Россия, Московская область, Красногорск, Подмосковный бульвар, 11","Красногорск, Подмосковный бульвар, 11"
"8835","Москoвская Область","Красногорск, Пушкинская","19","18.04.2020","37.309531   55.822296","Россия, Московская область, Красногорск, микрорайон Губайлово, Пушкинская улица, 19","Красногорск, микрорайон Губайлово, Пушкинская улица, 19"
"8836","Москoвская Область","Красногорск, ул. Вилора Трифонова","1","18.04.2020","37.284621   55.83432","Россия, Московская область, Красногорск, улица Вилора Трифонова, 1","Красногорск, улица Вилора Трифонова, 1"
"8837","Москoвская Область","Красногорск, ул. Георгия Димитрова","4","18.04.2020","37.319215   55.814568","Россия, Московская область, Красногорск, микрорайон Райцентр, улица Георгия Димитрова, 4","Красногорск, микрорайон Райцентр, улица Георгия Димитрова, 4"
"8838","Москoвская Область","Красногорск, ул. Октябрьская","2","18.04.2020","37.336966   55.821846","Россия, Московская область, Красногорск, Октябрьская улица, 2","Красногорск, Октябрьская улица, 2"
"8839","Москoвская Область","Красногорск, ул. Светлая","1","18.04.2020","37.281549   55.832601","Россия, Московская область, Красногорск, Светлая улица, 1","Красногорск, Светлая улица, 1"
"8840","Москoвская Область","Красногорский бульвар","10","18.04.2020","37.369395   55.814452","Россия, Московская область, Красногорск, Красногорский бульвар, 10","Красногорск, Красногорский бульвар, 10"
"8841","Москoвская Область","Краснозаводск, ул. Театральная","16","18.04.2020","38.249232   56.434581","Россия, Московская область, Сергиево-Посадский городской округ, Краснозаводск, Театральная улица, 16","Сергиево-Посадский городской округ, Краснозаводск, Театральная улица, 16"
"8842","Москoвская Область","Краснознаменск, Гагарина","19","18.04.2020","37.026346   55.603324","Россия, Московская область, Краснознаменск, улица Гагарина, 19","Краснознаменск, улица Гагарина, 19"
"8843","Москoвская Область","Краснознаменск, генерала Шлыкова","14","18.04.2020","37.02852   55.602062","Россия, Московская область, Краснознаменск, улица Генерала Шлыкова, 14","Краснознаменск, улица Генерала Шлыкова, 14"
"8844","Москoвская Область","Кубинка, Армейская улица","9","18.04.2020","36.688966   55.557694","Россия, Московская область, Одинцовский городской округ, Кубинка, Армейская улица, 9","Одинцовский городской округ, Кубинка, Армейская улица, 9"
"8845","Москoвская Область","Ленинский городской округ, п. Развилка","2А","18.04.2020","37.75073   55.591299","Россия, Московская область, Ленинский городской округ, посёлок Развилка, 2А","Ленинский городской округ, посёлок Развилка, 2А"
"8846","Москoвская Область","Лесной городок, Грибовская улица","6","18.04.2020","37.217481   55.640167","Россия, Московская область, Одинцовский городской округ, дачный посёлок Лесной Городок, Грибовская улица, 6","Одинцовский городской округ, дачный посёлок Лесной Городок, Грибовская улица, 6"
"8847","Москoвская Область","Лобня, Авиационная","4","18.04.2020","37.465793   56.012103","Россия, Московская область, Лобня, Авиационная улица, 4","Лобня, Авиационная улица, 4"
"8848","Москoвская Область","Лобня, Букинское шоссе","4","18.04.2020","37.474713   56.019923","Россия, Московская область, Лобня, Букинское шоссе, 4","Лобня, Букинское шоссе, 4"
"8849","Москoвская Область","Лобня, Ленина","53","18.04.2020","37.459056   56.009149","Россия, Московская область, Лобня, улица Ленина, 53","Лобня, улица Ленина, 53"
"8850","Москoвская Область","Лобня, Маяковского","1","18.04.2020","37.481675   56.014242","Россия, Московская область, Лобня, улица Маяковского, 1","Лобня, улица Маяковского, 1"
"8851","Москoвская Область","Лобня, Молодежная","12","18.04.2020","37.425036   56.018886","Россия, Московская область, Лобня, Молодёжная улица, 12","Лобня, Молодёжная улица, 12"
"8852","Москoвская Область","Лобня, Спортивная улица","5/2","18.04.2020","37.419844   56.026548","Россия, Московская область, Лобня, Спортивная улица, 5к2","Лобня, Спортивная улица, 5к2"
"8853","Москoвская Область","Лобня, Текстильная","18","18.04.2020","37.432061   56.018152","Россия, Московская область, Лобня, Текстильная улица, 18","Лобня, Текстильная улица, 18"
"8854","Москoвская Область","Лобня, Циолковского","13","18.04.2020","37.461769   56.013346","Россия, Московская область, Лобня, улица Циолковского, 13","Лобня, улица Циолковского, 13"
"8855","Москoвская Область","Лобня, Юности","5","18.04.2020","37.441341   56.005752","Россия, Московская область, Лобня, улица Юности, 5","Лобня, улица Юности, 5"
"8856","Москoвская Область","Луховицы, Пионерская","27","18.04.2020","39.018917   54.948835","Россия, Московская область, Луховицы, Пионерская улица, 27","Луховицы, Пионерская улица, 27"
"8857","Москoвская Область","Луховицы, улица Жуковского","32","18.04.2020","39.031071   54.9443","Россия, Московская область, Луховицы, улица Жуковского, 32","Луховицы, улица Жуковского, 32"
"8858","Москoвская Область","Лыткарино, Советская улица","14","18.04.2020","37.901862   55.579536","Россия, Московская область, Лыткарино, Советская улица, 14","Лыткарино, Советская улица, 14"
"8859","Москoвская Область","Лыткарино, улица Ухтомского","26","18.04.2020","37.897496   55.575587","Россия, Московская область, Лыткарино, улица Ухтомского, 26","Лыткарино, улица Ухтомского, 26"
"8860","Москoвская Область","Люберцы, ул. Южная","7","18.04.2020","37.906327   55.660419","Россия, Московская область, Люберцы, Южная улица, 7","Люберцы, Южная улица, 7"
"8861","Москoвская Область","Люберцы, 1-й Панковский проезд","9","18.04.2020","37.925784   55.662557","Россия, Московская область, Люберцы, 1-й Панковский проезд, 9","Люберцы, 1-й Панковский проезд, 9"
"8862","Москoвская Область","Люберцы, 50 лет Комсомола","12","18.04.2020","37.893984   55.692993","Россия, Московская область, Люберцы, улица 50 лет Комсомола, 12","Люберцы, улица 50 лет Комсомола, 12"
"8863","Москoвская Область","Люберцы, 60 лет Победы","3","18.04.2020","37.967843   55.605907","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица 60 лет Победы, 3","городской округ Люберцы, рабочий посёлок Октябрьский, улица 60 лет Победы, 3"
"8864","Москoвская Область","Люберцы, Вертолётная улица","20","18.04.2020","37.965634   55.704184","Россия, Московская область, Люберцы, Вертолётная улица, 20","Люберцы, Вертолётная улица, 20"
"8865","Москoвская Область","Люберцы, Вертолётная улица","6","18.04.2020","37.960792   55.707968","Россия, Московская область, Люберцы, Вертолётная улица, 6","Люберцы, Вертолётная улица, 6"
"8866","Москoвская Область","Люберцы, Комсомольский проспект","14/2","18.04.2020","37.906192   55.689938","Россия, Московская область, Люберцы, Комсомольский проспект, 14к2","Люберцы, Комсомольский проспект, 14к2"
"8867","Москoвская Область","Люберцы, Комсомольский проспект","18/1","18.04.2020","37.908402   55.692125","Россия, Московская область, Люберцы, Комсомольский проспект, 18/1","Люберцы, Комсомольский проспект, 18/1"
"8868","Москoвская Область","Люберцы, Митрофанова","6А","18.04.2020","37.891145   55.688634","Россия, Московская область, Люберцы, улица Митрофанова, 6А","Люберцы, улица Митрофанова, 6А"
"8869","Москoвская Область","Люберцы, микрорайон Птицефабрика","28","18.04.2020","37.925605   55.658434","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, микрорайон Птицефабрика, 28","городской округ Люберцы, рабочий посёлок Томилино, микрорайон Птицефабрика, 28"
"8870","Москoвская Область","Люберцы, Молодёжная улица","6","18.04.2020","37.912965   55.658708","Россия, Московская область, Люберцы, Молодёжная улица, 6","Люберцы, Молодёжная улица, 6"
"8871","Москoвская Область","Люберцы, Октябрьский проспект","123","18.04.2020","37.876691   55.687091","Россия, Московская область, Люберцы, Октябрьский проспект, 123","Люберцы, Октябрьский проспект, 123"
"8872","Москoвская Область","Люберцы, Октябрьский проспект","123/5","18.04.2020","37.878793   55.688253","Россия, Московская область, Люберцы, Октябрьский проспект, 123к5","Люберцы, Октябрьский проспект, 123к5"
"8873","Москoвская Область","Люберцы, Октябрьский проспект","124","18.04.2020","37.884803   55.681514","Россия, Московская область, Люберцы, Октябрьский проспект, 124","Люберцы, Октябрьский проспект, 124"
"8874","Москoвская Область","Люберцы, Октябрьский проспект","145","18.04.2020","37.891756   55.680636","Россия, Московская область, Люберцы, Октябрьский проспект, 145","Люберцы, Октябрьский проспект, 145"
"8875","Москoвская Область","Люберцы, посёлок Октябрьский, ул. Первомайская","6","18.04.2020","37.975165   55.605017","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, Первомайская улица, 6","городской округ Люберцы, рабочий посёлок Октябрьский, Первомайская улица, 6"
"8876","Москoвская Область","Люберцы, Первомайская улица","18","18.04.2020","37.97273   55.604742","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, Первомайская улица, 18","городской округ Люберцы, рабочий посёлок Октябрьский, Первомайская улица, 18"
"8877","Москoвская Область","Люберцы, Пионерская улица","8","18.04.2020","37.951135   55.669001","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, Пионерская улица, 8","городской округ Люберцы, рабочий посёлок Томилино, Пионерская улица, 8"
"8878","Москoвская Область","Люберцы, посёлок Калинина","45","18.04.2020","37.873592   55.691882","Россия, Московская область, Люберцы, посёлок Калинина, 45","Люберцы, посёлок Калинина, 45"
"8879","Москoвская Область","Люберцы, Преображенская улица","13","18.04.2020","37.911699   55.684528","Россия, Московская область, Люберцы, Преображенская улица, 13","Люберцы, Преображенская улица, 13"
"8880","Москoвская Область","Люберцы, проспект Гагарина","26/2","18.04.2020","37.918382   55.691171","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 26к2","Люберцы, микрорайон Красная Горка, проспект Гагарина, 26к2"
"8881","Москoвская Область","Люберцы, проспект Гагарина","8/7","18.04.2020","37.909273   55.686751","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 8/7","Люберцы, микрорайон Красная Горка, проспект Гагарина, 8/7"
"8882","Москoвская Область","Люберцы, ул. Кирова","41","18.04.2020","37.880581   55.681707","Россия, Московская область, Люберцы, улица Кирова, 41","Люберцы, улица Кирова, 41"
"8883","Москoвская Область","Люберцы, ул. Юности","7","18.04.2020","37.909058   55.702551","Россия, Московская область, Люберцы, улица Юности, 7","Люберцы, улица Юности, 7"
"8884","Москoвская Область","Люберцы, улица Кирова","28А","18.04.2020","37.889753   55.676189","Россия, Московская область, Люберцы, улица Кирова, 26","Люберцы, улица Кирова, 26"
"8885","Москoвская Область","Люберцы, улица Ленина","22","18.04.2020","37.975075   55.609182","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина, 22","городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина, 22"
"8886","Москoвская Область","Люберцы, улица Ленина","25","18.04.2020","37.976108   55.608363","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина, 25","городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина, 25"
"8887","Москoвская Область","Люберцы, улица Некрасова","6","18.04.2020","38.012364   55.649957","Россия, Московская область, городской округ Люберцы, рабочий посёлок Малаховка, улица Некрасова, 6","городской округ Люберцы, рабочий посёлок Малаховка, улица Некрасова, 6"
